Date,Open,High,Low,Close ,Adj Close ,Volume
12-Oct-22,97.5,98.91,97.23,98.43,90.5,"12,635,800"
11-Oct-22,97.22,99.76,96.75,98,90.1,"17,804,100"
10-Oct-22,101.49,102.03,98.72,98.84,90.87,"16,786,100"
7-Oct-22,102.19,103.32,100.18,101.03,92.89,"24,507,600"
6-Oct-22,98.47,102.18,98.33,102.06,93.83,"29,124,700"
5-Oct-22,95.75,99.99,95.66,99.12,91.13,"34,857,700"
4-Oct-22,93.24,95.36,92.71,95.27,87.59,"22,133,700"
3-Oct-22,90.04,92.36,89.72,91.92,84.51,"23,881,300"
30-Sep-22,88.17,89.04,87.31,87.31,80.27,"21,357,600"
29-Sep-22,88.18,89.36,87.13,88.68,81.53,"17,896,000"
28-Sep-22,86.12,89.3,85.92,88.86,81.7,"19,543,300"
27-Sep-22,85.61,86.96,84.81,85.74,78.83,"17,307,300"
26-Sep-22,84.9,86.22,83.89,83.98,77.21,"22,043,400"
23-Sep-22,87.5,87.5,84.85,85.75,78.84,"27,738,800"
22-Sep-22,92.2,92.66,90.52,90.57,83.27,"16,139,400"
21-Sep-22,93.57,93.88,90.87,90.95,83.62,"17,332,400"
20-Sep-22,92.73,92.93,91.64,92.44,84.99,"14,712,500"
19-Sep-22,91.01,93.49,91,93.2,85.69,"15,342,100"
16-Sep-22,95.07,95.34,92,93.21,85.7,"37,874,700"
15-Sep-22,96.22,96.54,94.05,94.83,87.19,"21,092,300"
14-Sep-22,96.19,98.56,96.15,97.67,89.8,"22,655,700"
13-Sep-22,96.61,97.78,94.91,95.33,87.65,"18,229,100"
12-Sep-22,97.65,99.19,96.88,97.61,89.74,"16,118,900"
